RT_title,RT_aud_score,RT_crit_score,RT_mpaa_rating,RT_runtime,RT_year,num_title,num_month,num_day,num_year,num_budget,num_gross
Shark Night 3D,22,17,PG-13,85,2011,Shark Night 3D,9,2,2011,25000000,18877153
Punch-Drunk Love,78,79,R,95,2002,PunchDrunk Love,10,11,2002,25000000,17791031
Eurotrip,76,46,R,89,2004,Eurotrip,2,20,2004,25000000,17718223
The Ruins,30,48,R,90,2008,The Ruins,4,4,2008,25000000,17432844
The Counselor,25,34,R,117,2013,The Counselor,10,25,2013,25000000,16973715
Unaccompanied Minors,54,31,PG,89,2006,Unaccompanied Minors,12,8,2006,25000000,16655224
"Bright Lights, Big City",40,61,R,110,1988,Bright Lights Big City,4,1,1988,25000000,16118077
Half Past Dead,39,2,PG-13,98,2002,Half Past Dead,11,15,2002,25000000,15567860
Legend,74,48,PG,1,1986,Legend,4,18,1986,25000000,15502112
The Adventures of Pinocchio,26,27,G,96,1996,The Adventures of Pinocchio,7,26,1996,25000000,15382170
The Greatest Game Ever Played,83,62,PG,115,2005,The Greatest Game Ever Played,9,30,2005,25000000,15331289
The Box,23,45,PG-13,116,2009,The Box,11,6,2009,25000000,15051977
The Next Best Thing,36,19,PG-13,108,2000,The Next Best Thing,3,3,2000,25000000,14983572
My Soul to Take,27,9,R,108,2010,My Soul to Take,10,8,2010,25000000,14744435
The Girl Next Door,70,55,R,108,2004,The Girl Next Door,4,9,2004,25000000,14589444
Fly Me to the Moon,24,19,G,84,2008,Fly Me To the Moon,8,15,2008,25000000,14543943
Maximum Risk,36,28,R,101,1996,Maximum Risk,9,13,1996,25000000,14102929
Stealing Harvard,40,9,PG-13,85,2002,Stealing Harvard,9,13,2002,25000000,13973532
Hot Rod,64,39,PG-13,87,2007,Hot Rod,8,3,2007,25000000,13938332
Warrior,92,83,PG-13,139,2011,Warrior,9,9,2011,25000000,13657115
Angela's Ashes,82,52,R,145,1999,Angelas Ashes,12,24,1999,25000000,13038660
Lifeforce,46,67,R,100,1985,Lifeforce,6,21,1985,25000000,11603545
The Conspirator,62,55,PG-13,122,2010,The Conspirator,4,15,2011,25000000,11538204
The Powerpuff Girls - The Movie,55,63,PG,74,2002,The Powerpuff Girls,7,3,2002,25000000,11411644
Michael Collins,84,77,R,117,1996,Michael Collins,10,11,1996,25000000,11092559
Stop-Loss,26,65,R,111,2008,StopLoss,3,28,2008,25000000,10915744
Gettysburg,89,88,PG,154,1993,Gettysburg,10,8,1993,25000000,10731997
Abandon,32,17,PG-13,98,2002,Abandon,10,18,2002,25000000,10719367
Straw Dogs,34,41,R,109,2011,Straw Dogs,9,16,2011,25000000,10324441
Brokedown Palace,68,31,PG-13,101,1999,Brokedown Palace,8,13,1999,25000000,10115014
Possession,58,65,PG-13,102,2002,Possession,8,16,2002,25000000,10103647
Mrs. Winterbourne,64,7,PG-13,106,1996,Mrs Winterbourne,4,19,1996,25000000,10039566
Stone Cold,64,29,R,91,1991,Stone Cold,5,17,1991,25000000,9286314
The Road,68,75,R,111,2009,The Road,11,25,2009,25000000,8114270
The Hoax,57,85,R,115,2007,The Hoax,4,6,2007,25000000,7164995
Sheena,33,38,PG,117,1984,Sheena,8,17,1984,25000000,5778353
Underclassman,35,6,PG-13,94,2004,Underclassman,9,2,2005,25000000,5654777
Say It Isn't So,32,9,R,96,2001,Say It Isnt So,3,23,2001,25000000,5516708
The World's Fastest Indian,90,82,PG-13,127,2005,The Worlds Fastest Indian,12,7,2005,25000000,5128124
Tank Girl,64,39,R,104,1995,Tank Girl,3,1,1995,25000000,4064333
King's Ransom,31,2,PG-13,97,2005,Kings Ransom,4,22,2005,25000000,4008527
Blindness,47,43,R,120,2008,Blindness,10,3,2008,25000000,3073392
Bloodrayne,16,4,R,95,2006,BloodRayne,1,6,2006,25000000,2405420
Bad Lieutenant: Port of Call New Orleans,57,87,R,121,2009,Bad Lieutenant Port of Call New Orleans,11,20,2009,25000000,1702112
Me and Orson Welles,61,85,PG-13,119,2010,Me and Orson Welles,11,25,2009,25000000,1190003
Venom,20,11,R,86,2005,Venom,9,16,2005,25000000,881745
Where the Truth Lies,47,41,NC-17,108,2005,Where the Truth Lies,10,14,2005,25000000,872142
Without Limits,91,79,PG-13,117,1998,Without Limits,9,11,1998,25000000,780326
On the Road,34,44,R,124,2012,On the Road,12,21,2012,25000000,720828
Love Ranch,29,12,R,117,2010,Love Ranch,6,30,2010,25000000,137885
Belka i Strelka. Zvezdnye sobaki (Space Dogs 3D),39,-1,G,85,2011,Belka i Strelka Zvezdnye sobaki,12,31,2010,25000000,0
The Adventurer: The Curse of the Midas Box,14,17,PG,98,2014,The Adventurer The Curse of the Midas Box,1,10,2014,25000000,0
Star Trek IV - The Voyage Home,81,85,PG,118,1986,Star Trek IV The Voyage Home,11,26,1986,24000000,109713132
Scream 2,55,81,R,120,1997,Scream 2,12,12,1997,24000000,101363301
Old School,86,60,R,91,2003,Old School,2,21,2003,24000000,75155000
Rocky Balboa,76,76,PG,101,2006,Rocky Balboa,12,20,2006,24000000,70269899
The Whole Nine Yards,65,45,R,98,2000,The Whole Nine Yards,2,18,2000,24000000,57262492
Footloose,62,70,PG-13,113,2011,Footloose,10,14,2011,24000000,51802742
I Still Know What You Did Last Summer,29,7,R,100,1998,I Still Know What You Did Last Summer,11,13,1998,24000000,40020622
Return to Me,80,61,PG,113,2000,Return to Me,4,7,2000,24000000,32662299
The Men Who Stare at Goats,39,52,R,94,2009,The Men Who Stare at Goats,11,6,2009,24000000,32428195
Zack and Miri Make a Porno,67,65,R,101,2008,Zack and Miri Make a Porno,10,31,2008,24000000,31457946
Double Take,50,12,PG-13,88,2001,Double Take,1,12,2001,24000000,29823162
"Girl, Interrupted",84,54,R,127,1999,Girl Interrupted,12,21,1999,24000000,28871190
Nurse Betty,45,84,R,108,2000,Nurse Betty,9,8,2000,24000000,25170054
Piranha 3-D,44,73,R,89,2010,Piranha 3D,8,20,2010,24000000,25003155
Win A Date With Tad Hamilton!,47,52,PG-13,96,2004,Win a Date with Tad Hamilton,1,23,2004,24000000,16980098
Muppets From Space,60,63,G,88,1999,Muppets From Space,7,14,1999,24000000,16304786
Ready to Rumble,53,23,PG-13,106,2000,Ready to Rumble,4,7,2000,24000000,12372410
I Don't Know How She Does It,32,17,PG-13,89,2011,I Dont Know How She Does It,9,16,2011,24000000,9659074
Play It to the Bone,27,12,R,124,2000,Play it to the Bone,12,24,1999,24000000,8427204
Beyond the Sea,65,42,PG-13,118,2004,Beyond the Sea,12,17,2004,24000000,6144806
Meet the Deedles,39,4,PG,92,1998,Meet the Deedles,3,27,1998,24000000,4356126
The Bridge of San Luis Rey,34,4,PG,120,2005,The Bridge of San Luis Rey,6,10,2005,24000000,49981
Zombieland,86,90,R,88,2009,Zombieland,10,2,2009,23600000,75590286
Star Wars: Episode V - The Empire Strikes Back,97,96,PG,124,1980,Star Wars Ep V The Empire Strikes Back,5,21,1980,23000000,290271960
The Waterboy,72,35,PG-13,90,1998,The Waterboy,11,6,1998,23000000,161491646
Bad Boys,79,43,R,118,1995,Bad Boys,4,7,1995,23000000,65647413
Final Destination,69,33,R,98,2000,Final Destination,3,17,2000,23000000,53302314
The Ides of March,73,85,R,102,2011,The Ides of March,10,7,2011,23000000,40962534
Pitch Black,77,57,R,108,2000,Pitch Black,2,18,2000,23000000,39235088
Someone Like You,58,43,PG-13,97,2001,Someone Like You,3,30,2001,23000000,27338033
Joy Ride,65,73,R,96,2001,Joy Ride,10,5,2001,23000000,21973182
Haywire,40,80,R,93,2012,Haywire,1,20,2012,23000000,18942396
Anywhere But Here,56,64,PG-13,114,1999,Anywhere But Here,11,12,1999,23000000,18653615
Vanity Fair,50,51,PG-13,137,2004,Vanity Fair,9,1,2004,23000000,16123851
Jaws 4 - The Revenge,15,0,PG-13,89,1987,Jaws 4 The Revenge,7,17,1987,23000000,15728335
The Crew,38,20,PG-13,87,2000,The Crew,8,25,2000,23000000,13019253
Marvin's Room,63,80,PG-13,98,1996,Marvins Room,12,20,1996,23000000,12803305
Chasing Liberty,61,19,PG-13,111,2004,Chasing Liberty,1,9,2004,23000000,12189514
The Longshots,63,40,PG,94,2008,The Longshots,8,22,2008,23000000,11511323
The End of the Affair,75,67,R,105,1999,The End of the Affair,12,3,1999,23000000,10660147
Harley Davidson and the Marlboro Man,68,24,R,100,1991,Harley Davidson and the Marlboro Man,8,23,1991,23000000,7018525
In the Valley of Elah,77,73,R,121,2007,In the Valley of Elah,9,14,2007,23000000,6777741
Cheri,40,51,R,92,2009,Cheri,6,26,2009,23000000,2715657
Bodyguards and Assassins (Shi yue wei cheng),71,-1,R,138,2009,Shi Yue Wei Cheng,12,31,2009,23000000,0
Spaceballs,83,54,PG,96,1987,Spaceballs,6,24,1987,22700000,38119483
1408,61,78,PG-13,94,2007,1408,6,22,2007,22500000,71985628
Ghost,81,74,R,126,1990,Ghost,7,13,1990,22000000,217631306
There's Something About Mary,60,83,R,118,1998,Theres Something About Mary,7,15,1998,22000000,176484651
The Santa Clause,64,75,PG,97,1994,The Santa Clause,11,11,1994,22000000,144833357
The Game Plan,70,28,PG,110,2007,The Game Plan,9,22,2007,22000000,90648202
The Rookie,69,84,G,127,2002,The Rookie,3,29,2002,22000000,75600072
The Bridges of Madison County,88,89,PG-13,135,1995,The Bridges of Madison County,6,2,1995,22000000,71516617
The Animal,28,30,PG-13,90,2001,The Animal,6,1,2001,22000000,55762229
Gandhi,93,87,PG,191,1982,Gandhi,12,8,1982,22000000,52767889
Underworld,79,31,R,121,2003,Underworld,9,19,2003,22000000,51970690
The Net,45,36,PG,112,1995,The Net,7,28,1995,22000000,50621733
Diary of a Wimpy Kid: Dog Days,64,51,PG,94,2012,Diary of a Wimpy Kid Dog Days,8,3,2012,22000000,49008662
I Am Sam,87,34,PG-13,132,2001,I Am Sam,12,28,2001,22000000,40270895
Derailed,59,20,R,107,2005,Derailed,11,11,2005,22000000,36020063
The Informant!,43,79,R,108,2009,The Informant,9,18,2009,22000000,33316821
Delivery Man,52,39,PG-13,103,2013,Delivery Man,11,22,2013,22000000,30257078
Jay and Silent Bob Strike Back,75,54,R,104,2001,Jay and Silent Bob Strike Back,8,24,2001,22000000,30059386
Shadowlands,89,96,PG,130,1993,Shadowlands,12,29,1993,22000000,25842377
Traitor,64,63,PG-13,114,2008,Traitor,8,27,2008,22000000,23530831
Deuce Bigalow: European Gigolo,34,9,R,83,2005,Deuce Bigalow European Gigolo,8,12,2005,22000000,22400154
Saving Silverman (Evil Woman),52,18,PG-13,95,2001,Saving Silverman,2,9,2001,22000000,19351569
Summer of Sam,60,50,R,142,1999,Summer of Sam,7,2,1999,22000000,19288130
The Glass House,40,21,PG-13,106,2001,The Glass House,9,14,2001,22000000,17951431
The Island,54,40,R,111,1980,The Island,6,13,1980,22000000,15716828
Josie and the Pussycats,52,53,PG-13,99,2001,Josie and the Pussycats,4,11,2001,22000000,14252830
The Little Vampire,55,55,PG,105,2000,The Little Vampire,10,27,2000,22000000,13555988
I Heart Huckabees,76,62,R,106,2004,I Heart Huckabees,10,1,2004,22000000,12784713
Robocop 3,14,3,PG-13,105,1992,RoboCop 3,11,5,1993,22000000,10696210
Dudley Do-Right,23,16,PG,77,1999,Dudley DoRight,8,27,1999,22000000,9818792
Megiddo: Omega Code 2,43,10,PG-13,106,2001,Megiddo Omega Code 2,9,21,2001,22000000,6047691
The Libertine,59,33,R,114,2004,The Libertine,11,23,2005,22000000,4835065
Black Book (Zwartboek),87,76,R,146,2007,Zwartboek,4,6,2007,22000000,4398532
Stone,21,51,R,105,2010,Stone,10,8,2010,22000000,1810078
Michael Clayton,69,90,R,119,2007,Michael Clayton,10,5,2007,21500000,49033882
Arlington Road,75,62,R,118,1999,Arlington Road,7,9,1999,21500000,24419219
My Fellow Americans,65,47,PG-13,101,1996,My Fellow Americans,12,20,1996,21500000,22331846
Silver Linings Playbook,86,92,R,122,2012,Silver Linings Playbook,11,16,2012,21000000,132092958
"South Park: Bigger, Longer and Uncut",88,81,R,80,1999,South Park Bigger Longer  Uncut,6,30,1999,21000000,52037603
Firefox,41,42,PG,136,1982,Firefox,6,18,1982,21000000,45785720
Death at a Funeral,45,41,R,92,2010,Death at a Funeral,4,16,2010,21000000,42739347
Teenage Mutant Ninja Turtles III,35,27,PG,96,1993,Teenage Mutant Ninja Turtles III,3,19,1993,21000000,42273609
Hardball,71,39,PG-13,115,2001,Hardball,9,14,2001,21000000,40222729
For Colored Girls,73,32,R,134,2010,For Colored Girls,11,5,2010,21000000,37729698
Freedom Writers,87,69,PG-13,123,2007,Freedom Writers,1,5,2007,21000000,36605602
The Transporter,74,54,PG-13,92,2002,The Transporter,10,11,2002,21000000,25296447
Never Back Down,34,22,PG-13,113,2008,Never Back Down,3,14,2008,21000000,24850922
Tinker Tailor Soldier Spy,65,83,R,128,2011,Tinker Tailor Soldier Spy,12,9,2011,21000000,24149393
The Bachelor,28,9,PG-13,102,1999,The Bachelor,11,5,1999,21000000,21731001
The Rage: Carrie 2,34,21,R,101,1999,The Rage Carrie 2,3,12,1999,21000000,17760244
Swing Vote,42,38,PG-13,119,2008,Swing Vote,8,1,2008,21000000,16289867
Away We Go,74,67,R,98,2009,Away We Go,6,5,2009,21000000,9451946
Moonlight Mile,67,63,PG-13,117,2002,Moonlight Mile,9,27,2002,21000000,6830957
The Beaver,56,60,PG-13,91,2011,The Beaver,5,6,2011,21000000,970816
Molly,54,14,PG-13,89,1999,Molly,10,22,1999,21000000,17396
eXistenZ,69,71,R,97,1999,eXistenZ,4,23,1999,20700000,2840417
The Best Little Whorehouse in Texas,69,56,R,115,1982,The Best Little Whorehouse in Texas,7,23,1982,20500000,69701637
Raiders of the Lost Ark,96,95,PG,115,1981,Raiders of the Lost Ark,6,12,1981,20000000,248159971
Beauty and the Beast,92,93,G,84,1991,Beauty and the Beast,11,13,1991,20000000,218951625
Home Alone 2: Lost in New York,61,24,PG,120,1992,Home Alone 2 Lost in New York,11,20,1992,20000000,173585516
Beverly Hills Cop II,58,46,R,102,1987,Beverly Hills Cop II,5,20,1987,20000000,153665036
The Conjuring,83,86,R,112,2013,The Conjuring,7,19,2013,20000000,137400141
Bringing Down The House,50,34,PG-13,105,2003,Bringing Down the House,3,7,2003,20000000,132675402
The Silence of the Lambs,95,94,R,118,1991,The Silence of the Lambs,2,14,1991,20000000,130726716
Wayne's World,85,85,PG-13,95,1992,Waynes World,2,14,1992,20000000,121697323
Jackass 3-D,70,64,R,94,2010,Jackass 3D,10,15,2010,20000000,117229692
Beverly Hills Chihuahua,52,41,PG,91,2008,Beverly Hills Chihuahua,10,3,2008,20000000,94514402
Are We There Yet? America On Vacation,0,-1,Unrated,,2006,Are We There Yet,1,21,2005,20000000,82674398
Disturbia,78,68,PG-13,104,2007,Disturbia,4,13,2007,20000000,80209692
Mortal Kombat,58,33,PG-13,101,1995,Mortal Kombat,8,18,1995,20000000,70433227
White Chicks,55,15,PG-13,106,2004,White Chicks,6,23,2004,20000000,69148997
Holes,76,77,PG,118,2003,Holes,4,18,2003,20000000,67383924
The Last Song,65,20,PG,107,2010,The Last Song,3,31,2010,20000000,62950384
Why Did I Get Married Too,67,26,PG-13,120,2010,Why Did I Get Married Too,4,2,2010,20000000,60095852
Drumline,70,82,PG-13,118,2002,Drumline,12,13,2002,20000000,56398162
Edward Scissorhands,91,91,PG-13,100,1990,Edward Scissorhands,12,7,1990,20000000,53976987
Popeye,38,57,PG,114,1980,Popeye,12,12,1980,20000000,49823037
Date Movie,35,7,PG-13,88,2006,Date Movie,2,17,2006,20000000,48548426
The Jungle Book 2,31,18,G,72,2003,The Jungle Book 2,2,14,2003,20000000,47901582
Premonition,50,8,PG-13,96,2007,Premonition,3,16,2007,20000000,47852604
Boogeyman,21,13,R,88,2005,Boogeyman,2,4,2005,20000000,46752382
The Tigger Movie,62,62,G,77,2000,The Tigger Movie,2,11,2000,20000000,45542421
Meet The Browns,70,32,PG-13,101,2008,Meet the Browns,3,21,2008,20000000,41975388
Epic Movie,29,2,R,84,2007,Epic Movie,1,26,2007,20000000,39739367
Lakeview Terrace,39,45,PG-13,110,2008,Lakeview Terrace,9,19,2008,20000000,39263506
The Grudge 2,41,10,PG-13,102,2006,The Grudge 2,10,13,2006,20000000,39143839
Conan the Barbarian,75,77,R,121,1982,Conan the Barbarian,5,14,1982,20000000,38264085
How Stella Got Her Groove Back,68,48,R,124,1998,How Stella Got Her Groove Back,8,14,1998,20000000,37672944
Bill & Ted's Bogus Journey,56,57,PG,98,1991,Bill  Teds Bogus Journey,7,19,1991,20000000,37537675
Man of the Year,46,21,PG,115,2006,Man of the Year,10,13,2006,20000000,37442180
Selena,77,64,PG,135,1997,Selena,3,21,1997,20000000,35450113
A Very Harold & Kumar Christmas,59,69,R,91,2011,A Very Harold  Kumar 3D Christmas,11,4,2011,20000000,35061031
Eternal Sunshine Of The Spotless Mind,94,93,R,108,2004,Eternal Sunshine of the Spotless Mind,3,19,2004,20000000,34366518
Texas Chainsaw,43,19,R,91,2013,Texas Chainsaw 3D,1,4,2013,20000000,34341945
Babel,77,69,R,143,2006,Babel,10,27,2006,20000000,34302837
Doubt,78,78,PG-13,104,2008,Doubt,12,12,2008,20000000,33446470
Team America - World Police,80,77,R,97,2004,Team America World Police,10,15,2004,20000000,32774834
Copycat,65,75,R,120,1995,Copycat,10,27,1995,20000000,32051917
Scary Movie 5,41,4,PG-13,86,2013,Scary Movie 5,4,12,2013,20000000,32015787
She's Out of My League,59,58,R,104,2010,Shes Out of My League,3,12,2010,20000000,32010860
Milk,89,94,R,128,2008,Milk,11,26,2008,20000000,31841299
The Debt,66,77,R,113,2011,The Debt,8,31,2011,20000000,31177548
Ghost Ship,38,13,R,91,2002,Ghost Ship,10,25,2002,20000000,30113491
Daybreakers,49,67,R,98,2009,Daybreakers,1,8,2010,20000000,30101577
The Bank Job,74,79,R,111,2008,The Bank Job,3,7,2008,20000000,30060660
Wild Things,54,64,R,108,1998,Wild Things,3,20,1998,20000000,29795299
The Stepfather,35,11,PG-13,103,2009,The Stepfather,10,16,2009,20000000,29062561
High Fidelity,90,91,R,113,2000,High Fidelity,3,31,2000,20000000,27277055
Stick It,73,31,PG,103,2006,Stick It,4,28,2006,20000000,26910736
Eye For An Eye,58,8,R,101,1995,Eye for an Eye,1,12,1996,20000000,26792700
Street Kings,58,36,R,109,2008,Street Kings,4,11,2008,20000000,26415649
The World's End,73,89,R,109,2013,The Worlds End,8,23,2013,20000000,26004851
From Dusk Till Dawn,77,64,R,107,1996,From Dusk Till Dawn,1,19,1996,20000000,25728961
You Again,43,17,PG,105,2010,You Again,9,24,2010,20000000,25702053
Alpha and Omega,41,16,PG,88,2010,Alpha and Omega 3D,9,17,2010,20000000,25107267
The Covenant,62,3,PG-13,97,2006,The Covenant,9,8,2006,20000000,23364784
Stay Alive,55,9,PG-13,86,2006,Stay Alive,3,24,2006,20000000,23086480
Two For the Money,49,22,R,124,2005,2 For the Money,10,7,2005,20000000,22991379
Psycho,29,37,R,100,1998,Psycho,12,4,1998,20000000,21541218
Quigley Down Under,74,56,PG-13,121,1990,Quigley Down Under,10,19,1990,20000000,21413105
To Die For,64,87,R,106,1995,To Die For,9,27,1995,20000000,21284514
Vampires,48,35,R,107,1998,Vampires,10,30,1998,20000000,20268825
Appaloosa,55,76,R,115,2008,Appaloosa,9,19,2008,20000000,20211394
Yu-Gi-Oh! - The Movie (Yugio: Gekijo-ban),47,5,PG,90,2004,YuGiOh,8,13,2004,20000000,19762690
Reign Over Me,82,64,R,124,2007,Reign Over Me,3,23,2007,20000000,19661987
My Best Friend's Girl,47,14,R,101,2008,My Best Friends Girl,9,19,2008,20000000,19219250
Georgia Rule,52,17,R,113,2007,Georgia Rule,5,11,2007,20000000,18882880
Under the Rainbow,48,0,PG,98,1981,Under the Rainbow,7,31,1981,20000000,18826490
Ladyhawke,74,67,PG-13,121,1985,Ladyhawke,4,12,1985,20000000,18400000
Into the Wild,89,82,R,148,2007,Into the Wild,9,21,2007,20000000,18354356
Simon Birch,77,44,PG,113,1998,Simon Birch,9,11,1998,20000000,18253415
Pooh's Heffalump Movie,70,79,G,67,2005,Poohs Heffalump Movie,2,11,2005,20000000,18098433
School for Scoundrels,53,25,PG-13,101,2006,School for Scoundrels,9,29,2006,20000000,17807569
Silent Hill: Revelation,36,5,R,94,2012,Silent Hill Revelation 3D,10,26,2012,20000000,17530219
Home for the Holidays,73,63,PG-13,103,1995,Home for the Holidays,11,3,1995,20000000,17468887
Fired Up,52,23,PG-13,90,2009,Fired Up,2,20,2009,20000000,17231291
Kung Fu Hustle,89,90,R,95,2005,Kung Fu Hustle,4,8,2005,20000000,17104669
The Country Bears,32,30,G,88,2002,The Country Bears,7,26,2002,20000000,16988996
21 Grams,86,80,R,126,2003,21 Grams,11,21,2003,20000000,16248701
Armored,31,41,PG-13,88,2009,Armored,12,4,2009,20000000,15988876
The Kite Runner,85,65,PG-13,127,2007,The Kite Runner,12,14,2007,20000000,15800078
Paparazzi,39,18,PG-13,84,2004,Paparazzi,9,3,2004,20000000,15712072
A Guy Thing,36,24,PG-13,101,2002,A Guy Thing,1,17,2003,20000000,15543862
Loser Love,38,-1,R,90,1999,Loser,7,21,2000,20000000,15464026
Twilight,31,59,R,122,1998,Twilight,3,6,1998,20000000,15055091
Capitalism: A Love Story,74,75,R,120,2009,Capitalism A Love Story,9,23,2009,20000000,14363397
Disaster Movie,20,1,PG-13,88,2008,Disaster Movie,8,29,2008,20000000,14190901
What's Your Number?,44,23,R,106,2011,Whats Your Number,9,30,2011,20000000,14011084
The Man Who Knew Too Little,70,42,PG,105,1997,The Man Who Knew Too Little,11,14,1997,20000000,13801755
Envy,27,7,PG-13,99,2004,Envy,4,30,2004,20000000,13548322
One Night With the King,78,19,PG,123,2006,One Night with the King,10,13,2006,20000000,13395961
Ghost Town,61,85,PG-13,102,2008,Ghost Town,9,19,2008,20000000,13252641
The Quiet American,73,87,R,118,2003,The Quiet American,11,22,2002,20000000,12987647
The Weather Man,56,58,R,101,2005,The Weather Man,10,28,2005,20000000,12482775
Undisputed,48,48,R,94,2002,Undisputed,8,23,2002,20000000,12398628
12 Rounds,46,29,PG-13,107,2009,12 Rounds,3,27,2009,20000000,12234694
Let Me In,76,88,R,116,2010,Let Me In,10,1,2010,20000000,12134935
3 Ninjas Kick Back,39,17,PG,99,1994,3 Ninjas Kick Back,5,6,1994,20000000,11744960
Be Kind Rewind,56,66,PG-13,101,2008,Be Kind Rewind,2,22,2008,20000000,11175164
Mrs. Henderson Presents,72,67,R,103,2005,Mrs Henderson Presents,12,9,2005,20000000,11036366
Deconstructing Harry,83,71,R,96,1997,Deconstructing Harry,12,12,1997,20000000,10686841
Three to Tango,48,28,PG-13,98,1999,Three to Tango,10,22,1999,20000000,10570375
We're No Angels,44,50,PG-13,101,1989,Were No Angels,12,15,1989,20000000,10555348
Everyone Says I Love You,69,79,R,101,1996,Everyone Says I Love You,12,6,1996,20000000,9725847
Death Sentence,61,20,R,111,2007,Death Sentence,8,31,2007,20000000,9534258
Everybody's Fine,54,46,PG-13,100,2009,Everybodys Fine,12,4,2009,20000000,9208876
Battle of the Year,52,6,PG-13,109,2013,Battle of the Year,9,20,2013,20000000,8888355
Death at a Funeral,79,61,R,90,2007,Death at a Funeral,8,17,2007,20000000,8580428
The Man,43,11,PG-13,83,2005,The Man,9,9,2005,20000000,8330720
Code Name: The Cleaner,38,4,PG-13,91,2007,Code Name The Cleaner,1,5,2007,20000000,8135024
Connie And Carla,71,44,PG-13,98,2004,Connie  Carla,4,16,2004,20000000,8047525
The Magic Roundabout (Doogal),51,60,Unrated,85,2005,Doogal,2,24,2006,20000000,7578946
Proof,60,62,PG-13,99,2005,Proof,9,16,2005,20000000,7535331
An American Carol,46,11,PG-13,94,2008,An American Carol,10,3,2008,20000000,7013191
Willard,51,64,PG-13,100,2003,Willard,3,14,2003,20000000,6882696
Chasing Mavericks,71,31,PG,116,2012,Chasing Mavericks,10,26,2012,20000000,6002756
A Dangerous Method,50,78,R,99,2011,A Dangerous Method,11,23,2011,20000000,5702083
A Scanner Darkly,74,69,R,100,2006,A Scanner Darkly,7,7,2006,20000000,5501616
Bandslam,64,81,PG,111,2009,Bandslam,8,14,2009,20000000,5210988
Alone in the Dark,10,1,R,96,2005,Alone in the Dark,1,28,2005,20000000,5178569
Birth,43,38,R,100,2004,Birth,10,29,2004,20000000,5005899
Passchendaele,59,36,Unrated,113,2008,Passchendaele,10,24,2008,20000000,4452423
I'm Not There,70,77,R,135,2007,Im Not There,11,21,2007,20000000,4017609
The Cold Light of Day,29,5,PG-13,93,2012,The Cold Light of Day,9,7,2012,20000000,3763583
The Brothers Bloom,64,66,PG-13,113,2008,The Brothers Bloom,5,15,2009,20000000,3531756
"Synecdoche, New York",70,68,R,124,2008,Synecdoche New York,10,24,2008,20000000,3083538
Princess Mononoke (Mononoke-hime),94,93,PG-13,133,1999,Mononokehime,10,29,1999,20000000,2374107
Bon Voyage,75,76,PG-13,114,2003,Bon Voyage,3,19,2004,20000000,2353728
Village People - Can't Stop the Music,39,8,PG,120,1980,Cant Stop the Music,1,1,1980,20000000,2000000
Marci X,29,9,R,84,2003,Marci X,8,22,2003,20000000,1646664
Equilibrium,82,37,R,106,2002,Equilibrium,12,6,2002,20000000,1190018
Dylan Dog: Dead of Night,29,8,PG-13,108,2011,Dylan Dog Dead of Night,4,29,2011,20000000,1186538
The Oogieloves in The Big Balloon Adventure,69,27,G,86,2012,The Oogieloves in the BIG Balloon Adventure,8,29,2012,20000000,1065907
The Children of Huang Shi,66,30,R,125,2008,The Children of Huang Shi,5,23,2008,20000000,1031872
The Yards,54,64,R,115,2000,The Yards,10,20,2000,20000000,882710
All Good Things,38,32,R,101,2010,All Good Things,12,3,2010,20000000,582024
Steamboy,68,60,PG-13,126,2004,Steamboy,3,18,2005,20000000,468867
The Game of Their Lives,58,26,PG,96,2005,The Game of Their Lives,4,22,2005,20000000,375474
The Tempest,28,30,PG-13,152,2010,The Tempest,12,10,2010,20000000,277943
CJ7,53,51,G,88,2008,CJ7,3,7,2008,20000000,206678
Les couloirs du temps: Les visiteurs 2,49,-1,Unrated,116,1998,Couloirs du temps Les visiteurs 2 Les,3,27,1998,20000000,146072
People I Know,31,42,R,100,2002,People I Know,4,25,2003,20000000,121972
The Touch,31,-1,PG-13,102,2003,The Touch,3,31,2004,20000000,0
The Story of Bonnie and Clyde,50,-1,Unrated,,2010,Story of Bonnie and Clyde The,12,31,2010,20000000,0
Der Baader Meinhof Komplex (The Baader Meinhof Complex),80,85,R,149,2008,Der Baader Meinhof Komplex,8,21,2009,19700000,476270
The Painted Veil,86,74,PG-13,124,2006,The Painted Veil,12,20,2006,19400000,8060487
The Frozen Ground,50,59,R,105,2013,The Frozen Ground,8,23,2013,19200000,0
The Devil's Double,66,52,R,108,2011,The Devils Double,7,29,2011,19100000,1361512
Back to the Future,94,96,PG,116,1985,Back to the Future,7,3,1985,19000000,210609762
Dances With Wolves,87,81,PG-13,181,1990,Dances with Wolves,11,9,1990,19000000,184208842
Scary Movie,43,54,R,88,2000,Scary Movie,7,7,2000,19000000,157019771
Bad Teacher,36,44,R,92,2011,Bad Teacher,6,24,2011,19000000,100292856
Just Married,48,19,PG-13,94,2003,Just Married,1,10,2003,19000000,56127162
I Can Do Bad All By Myself,81,63,PG-13,113,2009,I Can Do Bad All By Myself,9,11,2009,19000000,51733921
A Cinderella Story,53,11,PG,95,2004,A Cinderella Story,7,16,2004,19000000,51438175
The Shining,93,92,R,119,1980,The Shining,5,23,1980,19000000,44017374
Thirteen Ghosts (13 Ghosts),49,14,R,91,2001,Thirteen Ghosts,10,26,2001,19000000,41867960
