Movie,budget,dom_gross,year,month,day,RT_title,RT_aud_score,RT_crit_score,RT_runtime,RT_cast1,RT_cast2,RT_cast3,imdb_id,Metascore,Language,Director,Genre,imdbRating,imdbVotes,mpaa_kid,mpaa_adult,Holiday,DayOfWeek
Untraceable,35000000,28687835,2008,1,25,Untraceable,52.0,16.0,101.0,Diane Lane,Billy Burke,Colin Hanks,tt0880578,32.0,English,Gregory Hoblit,"Crime, Drama, Thriller",6.2,35702.0,0,1,0,4
Abduction,35000000,28087155,2011,9,23,Abduction,43.0,4.0,105.0,Taylor Lautner,Alfred Molina,Antonique Smith,tt1600195,25.0,English,John Singleton,"Action, Mystery, Thriller",4.9,50349.0,1,0,0,4
Flash Gordon,35000000,27107960,1980,12,5,Flash Gordon,70.0,81.0,111.0,Sam J. Jones,Melody Anderson,Topol,tt0080745,63.0,English,Mike Hodges,"Action, Adventure, Fantasy",6.4,28819.0,1,0,0,4
Superhero Movie,35000000,26638520,2008,3,28,Superhero Movie,32.0,16.0,86.0,Drake Bell,Sara Paxton,Christopher McDonald,tt0426592,33.0,English,Craig Mazin,"Action, Comedy, Sci-Fi",4.5,41595.0,1,0,0,4
Blast from the Past,35000000,26613620,1999,2,12,Blast from the Past,56.0,59.0,112.0,Brendan Fraser,Alicia Silverstone,Christopher Walken,tt0124298,48.0,"English, French, German, Latin",Hugh Wilson,"Comedy, Drama, Romance",6.5,40033.0,1,0,0,4
Jersey Girl,35000000,25266129,2004,3,26,Jersey Girl,48.0,41.0,102.0,Ben Affleck,Liv Tyler,Jennifer Lopez,tt0300051,43.0,English,Kevin Smith,"Comedy, Drama, Romance",6.2,45715.0,1,0,0,4
Midnight in the Garden of Good and Evil,35000000,25078937,1997,11,21,Midnight in the Garden of Good and Evil,67.0,47.0,155.0,Kevin Spacey,John Cusack,Jack Thompson,tt0119668,57.0,"English, French",Clint Eastwood,"Crime, Drama, Mystery",6.6,27241.0,0,1,0,4
Heist,35000000,23483357,2001,11,9,Heist,61.0,65.0,100.0,Gene Hackman,Danny DeVito,Delroy Lindo,tt0252503,66.0,English,David Mamet,"Action, Crime, Drama",6.6,24763.0,0,1,1,4
Ella Enchanted,35000000,22913677,2004,4,9,Ella Enchanted,57.0,50.0,96.0,Anne Hathaway,Hugh Dancy,Cary Elwes,tt0327679,53.0,English,Tommy O'Haver,"Comedy, Family, Fantasy",6.3,32346.0,1,0,0,4
The X-Files: I Want to Believe,35000000,20982478,2008,7,25,The X-Files: I Want to Believe (The X Files 2),32.0,32.0,104.0,David Duchovny,Gillian Anderson,Amanda Peet,tt0443701,47.0,"English, Russian, Czech",Chris Carter,"Drama, Mystery, Sci-Fi",5.9,64337.0,1,0,0,4
Premium Rush,35000000,20275446,2012,8,24,Premium Rush,60.0,76.0,90.0,Joseph Gordon-Levitt,Michael Shannon,Dania Ramirez,tt1547234,66.0,"English, Mandarin",David Koepp,"Action, Crime, Thriller",6.5,70574.0,1,0,0,4
Valiant,35000000,19478106,2005,8,19,Valiant,30.0,31.0,76.0,Ewan McGregor,Ricky Gervais,Tim Curry,tt0361089,45.0,English,Gary Chapman,"Animation, Adventure, Comedy",5.6,12620.0,1,0,0,4
